Reporting Economy,Product/Sector,2017,2018,2019,2020,2021,2022
Burundi,Agricultural products,89,89,81,81,78,112
Burundi,Fuels and mining products,9,22,18,12,19,15
Burundi,Manufactures,15,13,15,22,26,28
Burundi,Iron and steel,1,1,3,9,9,9
Burundi,Chemicals,2,3,1,1,1,2
Burundi,Pharmaceuticals,0,0,0,0,0,0
Burundi,Machinery and transport equipment,2,3,6,3,4,4
Burundi,Office and telecom equipment,0,0,0,0,1,0
Burundi,Electronic data processing and office equipment,0,0,0,0,0,0
Burundi,Telecommunications equipment,0,0,0,0,0,0
Burundi,Integrated circuits and electronic components,0,0,0,0,0,0
Burundi,Transport equipment,1,2,3,1,1,2
Burundi,Automotive products,1,1,2,1,1,2
Burundi,Textiles,0,0,0,0,0,0
Burundi,Clothing,0,0,0,0,0,0
Cambodia,Agricultural products,861,935,930,1095,1353,1431
Cambodia,Fuels and mining products,32,35,72,99,173,230
Cambodia,Manufactures,10160,11695,13431,13509,15912,18682
Cambodia,Iron and steel,11,18,16,23,43,34
Cambodia,Chemicals,176,99,82,72,120,147
Cambodia,Pharmaceuticals,11,8,8,12,14,20
Cambodia,Machinery and transport equipment,900,1011,1138,1494,1984,3235
Cambodia,Office and telecom equipment,165,181,143,293,435,1194
Cambodia,Electronic data processing and office equipment,158,150,107,125,136,117
Cambodia,Telecommunications equipment,5,30,4,2,11,53
Cambodia,Integrated circuits and electronic components,1,1,31,166,288,1025
Cambodia,Transport equipment,385,418,464,580,719,1053
Cambodia,Automotive products,20,32,38,35,33,39
Cambodia,Textiles,154,172,198,277,331,293
Cambodia,Clothing,7056,7859,8328,7548,8126,9122
Cameroon,Agricultural products,1412,1517,1499,1396,1714,1716
Cameroon,Fuels and mining products,1569,2052,2322,1521,2314,3478
Cameroon,Manufactures,251,234,253,215,266,321
Cameroon,Iron and steel,20,23,29,35,42,6
Cameroon,Chemicals,69,74,73,70,68,79
Cameroon,Pharmaceuticals,1,1,2,2,1,2
Cameroon,Machinery and transport equipment,43,30,43,17,46,58
Cameroon,Office and telecom equipment,3,6,8,1,2,2
Cameroon,Electronic data processing and office equipment,0,0,7,0,1,1
Cameroon,Telecommunications equipment,3,6,1,0,1,1
Cameroon,Integrated circuits and electronic components,0,0,0,0,0,0
Cameroon,Transport equipment,13,5,11,4,14,19
Cameroon,Automotive products,5,2,9,2,11,16
Cameroon,Textiles,6,2,8,3,4,3
Cameroon,Clothing,1,0,0,0,0,0
Canada,Agricultural products,66585,69134,64990,69676,87471,91455
Canada,Fuels and mining products,113210,131127,127709,98650,161322,223651
Canada,Manufactures,206459,215346,212361,181847,213665,242377
Canada,Iron and steel,6768,7103,5798,5025,9731,10778
Canada,Chemicals,32972,37652,36773,35840,45649,56777
Canada,Pharmaceuticals,6314,7936,8501,8315,9622,10890
Canada,Machinery and transport equipment,117378,118289,118890,94903,100841,112713
Canada,Office and telecom equipment,8498,8685,8463,6828,7591,8564
Canada,Electronic data processing and office equipment,3218,3187,3212,2702,2963,2814
Canada,Telecommunications equipment,3859,3917,3677,2938,3226,5085
Canada,Integrated circuits and electronic components,1422,1580,1574,1189,1403,665
Canada,Transport equipment,75465,73894,74493,57936,58136,63373
Canada,Automotive products,63214,60667,60754,46135,45074,50236
Canada,Textiles,1777,1790,1675,1538,1631,1604
Canada,Clothing,1463,1652,1746,1360,2008,1929
Cayman Islands,Agricultural products,0,0,0,1,1,1
Cayman Islands,Fuels and mining products,0,0,0,4,3,3
Cayman Islands,Manufactures,0,0,0,15,11,10
Cayman Islands,Iron and steel,0,0,0,0,0,0
Cayman Islands,Chemicals,0,0,0,0,1,1
Cayman Islands,Pharmaceuticals,0,0,0,0,0,0
Cayman Islands,Machinery and transport equipment,0,0,0,12,8,7
Cayman Islands,Office and telecom equipment,0,0,0,10,7,7
Cayman Islands,Electronic data processing and office equipment,0,0,0,1,0,0
Cayman Islands,Telecommunications equipment,0,0,0,9,7,6
Cayman Islands,Integrated circuits and electronic components,0,0,0,0,0,0
Cayman Islands,Transport equipment,0,0,0,1,0,0
Cayman Islands,Automotive products,0,0,0,0,0,0
Cayman Islands,Textiles,0,0,0,0,0,0
Cayman Islands,Clothing,0,0,0,0,0,0
Central African Republic,Agricultural products,27,16,16,8,9,6
Central African Republic,Fuels and mining products,7,8,6,7,12,14
Central African Republic,Manufactures,105,20,92,16,11,36
Central African Republic,Iron and steel,0,0,0,0,0,0
Central African Republic,Chemicals,0,0,0,0,0,0
Central African Republic,Pharmaceuticals,0,0,0,0,0,0
Central African Republic,Machinery and transport equipment,101,19,92,15,10,28
Central African Republic,Office and telecom equipment,0,0,0,0,0,0
Central African Republic,Electronic data processing and office equipment,0,0,0,0,0,0
Central African Republic,Telecommunications equipment,0,0,0,0,0,0
Central African Republic,Integrated circuits and electronic components,0,0,0,0,0,0
Central African Republic,Transport equipment,79,7,91,11,8,19
Central African Republic,Automotive products,59,5,3,10,7,17
Central African Republic,Textiles,2,0,0,0,0,3
Central African Republic,Clothing,1,0,0,0,0,0
Chile,Agricultural products,21298,24314,23236,21664,23976,26403
Chile,Fuels and mining products,37983,40114,36027,43006,59679,50756
Chile,Manufactures,8934,9662,8806,8564,10161,19492
Chile,Iron and steel,189,394,339,254,593,630
Chile,Chemicals,3332,3865,3634,3335,4311,13090
Chile,Pharmaceuticals,150,172,177,165,234,259
Chile,Machinery and transport equipment,1987,1828,1577,2133,1966,1660
Chile,Office and telecom equipment,276,222,246,196,261,295
Chile,Electronic data processing and office equipment,55,54,64,59,90,90
Chile,Telecommunications equipment,212,160,177,131,164,201
Chile,Integrated circuits and electronic components,9,8,5,6,6,4
Chile,Transport equipment,924,943,653,1333,1019,583
Chile,Automotive products,706,676,519,391,483,468
Chile,Textiles,287,264,216,158,202,229
Chile,Clothing,280,261,232,146,155,203
China,Agricultural products,78438,82790,81681,78177,88526,96372
China,Fuels and mining products,62657,79447,78357,60493,87871,118679
China,Manufactures,2116384,2318161,2320973,2421701,3145158,3329069
China,Iron and steel,55756,62605,55081,46451,84454,100906
China,Chemicals,141230,167420,161734,169100,264169,313203
China,Pharmaceuticals,14986,17327,17158,21958,48487,24008
China,Machinery and transport equipment,1085569,1211106,1199072,1261186,1621654,1671115
China,Office and telecom equipment,599411,667125,651747,670274,811046,780117
China,Electronic data processing and office equipment,260856,284461,261550,217419,259184,241729
China,Telecommunications equipment,237856,260736,244420,300126,347914,318506
China,Integrated circuits and electronic components,100699,121927,145777,152729,203948,219882
China,Transport equipment,118549,133395,126097,123794,192731,218488
China,Automotive products,54200,60654,59309,58027,93395,124167
China,Textiles,109595,118530,119575,154091,145569,148132
China,Clothing,157464,157961,151537,141501,176050,182416
Colombia,Agricultural products,7342,7297,7360,7871,9433,11551
Colombia,Fuels and mining products,20916,24710,22011,13310,19852,32174
Colombia,Manufactures,7721,8328,8292,6947,8946,10536
Colombia,Iron and steel,492,735,689,518,661,1108
Colombia,Chemicals,3053,3211,3134,2868,3784,4133
Colombia,Pharmaceuticals,357,358,367,369,398,416
Colombia,Machinery and transport equipment,1527,1571,1631,1230,1401,1643
Colombia,Office and telecom equipment,102,99,114,112,131,160
Colombia,Electronic data processing and office equipment,31,37,24,17,20,19
Colombia,Telecommunications equipment,40,33,28,26,49,73
Colombia,Integrated circuits and electronic components,32,29,63,69,63,69
Colombia,Transport equipment,634,716,764,411,417,517
Colombia,Automotive products,523,632,638,318,304,380
Colombia,Textiles,280,287,278,244,303,333
Colombia,Clothing,426,467,467,349,530,558
Comoros,Agricultural products,31,29,21,13,18,30
Comoros,Fuels and mining products,0,0,0,0,2,1
Comoros,Manufactures,8,12,18,7,14,22
Comoros,Iron and steel,0,0,0,0,0,0
Comoros,Chemicals,4,10,13,5,6,5
Comoros,Pharmaceuticals,0,0,0,0,0,0
Comoros,Machinery and transport equipment,3,1,4,1,6,17
Comoros,Office and telecom equipment,2,0,0,0,0,0
Comoros,Electronic data processing and office equipment,1,0,0,0,0,0
Comoros,Telecommunications equipment,1,0,0,0,0,0
Comoros,Integrated circuits and electronic components,0,0,0,0,0,0
Comoros,Transport equipment,1,1,2,0,6,16
Comoros,Automotive products,0,0,2,0,1,0
Comoros,Textiles,0,0,0,0,0,0
Comoros,Clothing,0,0,0,0,0,0
Congo,Agricultural products,260,271,340,340,355,378
Congo,Fuels and mining products,3866,9275,4767,3716,7411,10241
Congo,Manufactures,4126,1608,469,833,594,37
