Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
Austria,SI3_AGG - MACL - Clothing,World,2897,3161,3290,2966,3348,3387
Azerbaijan,SI3_AGG - TO - Total merchandise,World,15481,20317,19635,13733,22208,38147
Azerbaijan,SI3_AGG - AG - Agricultural products,World,699,787,899,896,1033,1092
Azerbaijan,SI3_AGG - AGFO - Food,World,654,701,768,754,809,904
Azerbaijan,SI3_AGG - MI - Fuels and mining products,World,14053,18057,17996,12159,19909,35596
Azerbaijan,SI3_AGG - MIFU - Fuels,World,13867,17879,17800,11981,19634,35300
Azerbaijan,SI3_AGG - MA - Manufactures,World,426,487,565,480,1059,1267
Azerbaijan,SI3_AGG - MAIS - Iron and steel,World,77,78,47,44,108,120
Azerbaijan,SI3_AGG - MACH - Chemicals,World,179,195,279,246,683,767
Azerbaijan,SI3_AGG - MACHPH - Pharmaceuticals,World,1,2,1,1,5,3
Azerbaijan,SI3_AGG - MAMT - Machinery and transport equipment,World,58,72,89,72,63,159
Azerbaijan,SI3_AGG - MAMTOF - Office and telecom equipment,World,3,6,5,20,5,25
Azerbaijan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,2,3,2,18,3,19
Azerbaijan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,3,3,2,3,5
Azerbaijan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Azerbaijan,SI3_AGG - MAMTTE - Transport equipment,World,11,10,17,6,10,44
Azerbaijan,SI3_AGG - MAMTAU - Automotive products,World,9,4,8,2,6,40
Azerbaijan,SI3_AGG - MATE - Textiles,World,41,52,59,46,86,67
Azerbaijan,SI3_AGG - MACL - Clothing,World,2,1,1,2,1,3
Bahamas,SI3_AGG - TO - Total merchandise,World,571,642,695,431,639,838
Bahamas,SI3_AGG - AG - Agricultural products,World,89,87,87,36,51,100
Bahamas,SI3_AGG - AGFO - Food,World,86,84,84,34,49,97
Bahamas,SI3_AGG - MI - Fuels and mining products,World,84,120,95,116,192,193
Bahamas,SI3_AGG - MIFU - Fuels,World,73,102,79,96,152,161
Bahamas,SI3_AGG - MA - Manufactures,World,300,316,355,187,308,281
Bahamas,SI3_AGG - MAIS - Iron and steel,World,1,2,1,0,0,0
Bahamas,SI3_AGG - MACH - Chemicals,World,134,148,103,59,48,30
Bahamas,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
Bahamas,SI3_AGG - MAMT - Machinery and transport equipment,World,116,117,200,53,251,58
Bahamas,SI3_AGG - MAMTOF - Office and telecom equipment,World,16,3,4,3,1,4
Bahamas,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,2,1,1,2,0,1
Bahamas,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,13,2,3,1,1,2
Bahamas,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,0,0,0,0,0
Bahamas,SI3_AGG - MAMTTE - Transport equipment,World,40,61,67,26,248,26
Bahamas,SI3_AGG - MAMTAU - Automotive products,World,7,4,10,4,0,3
Bahamas,SI3_AGG - MATE - Textiles,World,1,2,2,29,1,0
Bahamas,SI3_AGG - MACL - Clothing,World,0,0,0,1,0,0
"Bahrain, Kingdom of",SI3_AGG - TO - Total merchandise,World,15376,18044,18120,14066,22369,30194
"Bahrain, Kingdom of",SI3_AGG - AG - Agricultural products,World,535,605,625,599,684,896
"Bahrain, Kingdom of",SI3_AGG - AGFO - Food,World,521,595,613,587,668,879
